"%d product(s) were updated","%d προϊόν(τα) ενημερώθηκαν"
"%s (Default Template from Locale)","%s (Προκαθορισμένο πρότυπο από την τοπική γλώσσα)"
"%s cache type(s) disabled.","Τύπος(οι) προσωρινής μνήμης %s απενεργοποιήθηκε."
"%s cache type(s) enabled.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ενεργοποιήθηκε."
"%s cache type(s) refreshed.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ανανεώθηκε."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Οι ρυθμίσεις PHP του διακομιστή σας επιτρέπουν να ανεβάζετε αρχεία όχι περισσότερα από %s κάθε φορά. Παρακαλούμε τροποποιήστε post_max_size (αυτή τη στιγμή είναι %s) και upload_max_filesize (επί του παρόντος είναι %s) τιμές στο php.ini αν θέλετε να ανεβάσετε μεγαλύτερα αρχεία."
"YTD","YTD"
"Zip/Postal Code","Ταχυδρομικός Κώδικας"
"Zip/Postal Code:","Ταχυδρομικός Κώδικας:"
" [deleted]"," [deleted]"
"[ deleted ]","[ διαγράφηκε ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΦΥΛΑΞΗΣ]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>."
